decade,broad_genre,n_songs,Danceability_std,Energy_std,Tempo_std,dispersion_no_duration,w_in_decade,decade_centered
1950,Pop,0,,,,,0.0,-30
1950,Rock,21,0.9689595234173155,1.0648632819396426,1.4210635537758463,1.1516287863776016,0.8076923076923077,-30
1950,Hip-Hop,0,,,,,0.0,-30
1950,R&B/Soul,2,0.9980923554341938,0.610448631154585,1.6626707157760134,1.090403900788264,0.07692307692307693,-30
1950,Electronic,0,,,,,0.0,-30
1950,Country,0,,,,,0.0,-30
1950,Oldies/Standards,1,,,,,0.038461538461538464,-30
1950,Other,2,1.6618722228831482,0.5699972158371126,1.3884729791092971,1.206780805943186,0.07692307692307693,-30
1960,Pop,25,1.0303335638686626,0.9033503898300865,1.4376483581438597,1.1237774372808695,0.0585480093676815,-20
1960,Rock,296,0.8599306297302549,1.0519960833869038,0.9981412955556718,0.9700226695576101,0.6932084309133489,-20
1960,Hip-Hop,0,,,,,0.0,-20
1960,R&B/Soul,71,1.1629790248477565,0.9326823518128841,1.0146767187424721,1.0367793651343709,0.16627634660421545,-20
1960,Electronic,1,,,,,0.00234192037470726,-20
1960,Country,14,0.6456284537374719,1.2699709633365475,1.0251231705775967,0.9802408625505388,0.03278688524590164,-20
1960,Oldies/Standards,13,1.0496329285415618,0.5286702532997133,1.3752834587234495,0.9845288801882415,0.03044496487119438,-20
1960,Other,7,0.6917937274362413,1.1398153490610416,0.6823000653500718,0.8379697139491182,0.01639344262295082,-20
1970,Pop,60,1.0818220686079552,0.9926343859492708,0.8976904463609555,0.990715633639394,0.08941877794336811,-10
1970,Rock,522,0.9716303917004507,1.0875243060769508,0.9929040189791208,1.0173529055855075,0.7779433681073026,-10
1970,Hip-Hop,0,,,,,0.0,-10
1970,R&B/Soul,48,1.0136484122227942,1.2086886476194176,0.93069030212466,1.0510091206556238,0.07153502235469449,-10
1970,Electronic,8,0.7281216447844997,0.9317395640830861,0.46574113636457803,0.7085341150773878,0.011922503725782414,-10
1970,Country,14,0.8329532086724287,0.71569617665631,1.1620121714690743,0.9035538522659378,0.020864381520119227,-10
1970,Oldies/Standards,2,1.0223178980418197,0.5847068214071022,0.3762341560326678,0.6610862918271966,0.0029806259314456036,-10
1970,Other,17,0.9198371854995329,0.865428698519243,0.6076594274302891,0.7976417704830215,0.02533532041728763,-10
1980,Pop,110,0.7925929342144536,1.0090071652722,0.6642240188598234,0.8219413727821591,0.12775842044134728,0
1980,Rock,632,0.9768865963465242,1.0330961023728191,1.0073283987035566,1.0057703658076333,0.7340301974448316,0
1980,Hip-Hop,7,1.1811166785403202,0.5834195805299801,0.5096236309580789,0.7580532966761265,0.008130081300813009,0
1980,R&B/Soul,54,1.0209796231731378,1.0988428185271657,0.941159494530648,1.0203273120769838,0.0627177700348432,0
1980,Electronic,12,1.0652422717141756,0.5983518792901849,0.35244609257693144,0.6720134145270973,0.013937282229965157,0
1980,Country,7,0.8978447455182966,1.0898351961855581,1.2745141142744296,1.087398018659428,0.008130081300813009,0
1980,Oldies/Standards,3,0.7227823699638208,0.5619569894111303,0.6517467983468409,0.645495385907264,0.003484320557491289,0
1980,Other,36,0.7960196704790792,1.057200735282324,1.0039048441758833,0.9523750833124289,0.041811846689895474,0
1990,Pop,146,0.9124634609958812,1.0373797750609177,1.0181044956576244,0.9893159105714745,0.11986863711001643,10
1990,Rock,665,0.9516156268516349,1.0404397495544915,1.0453922208581246,1.0124825324214168,0.5459770114942529,10
1990,Hip-Hop,36,0.6608982644323306,0.6680580077240463,0.8320773220408708,0.7203445313990825,0.029556650246305417,10
1990,R&B/Soul,142,0.8584850794255209,0.9879781452551476,1.0525813489304523,0.966348191203707,0.11658456486042693,10
1990,Electronic,116,0.6860548694258481,0.6491433512179334,0.5697625558721386,0.6349869255053068,0.09523809523809523,10
1990,Country,31,0.9635387740864464,1.1814613426802307,1.010696224079791,1.051898780282156,0.025451559934318555,10
1990,Oldies/Standards,5,0.6575081827596674,0.9475329755005947,0.6830834067958513,0.7627081883520379,0.004105090311986864,10
1990,Other,77,1.0324496278434092,1.1646008799734981,1.1230437561211934,1.1066980879793669,0.06321839080459771,10
2000,Pop,674,0.9599782329252166,0.7860876093097674,0.9883491222201004,0.9114716548183615,0.27839735646427094,20
2000,Rock,1054,0.9284461275026689,1.008791223003696,1.0585703804622635,0.9986025769895428,0.4353572903758777,20
2000,Hip-Hop,78,0.798908136674163,0.589119645289122,0.9286008811874401,0.7722095543835751,0.0322180916976456,20
2000,R&B/Soul,231,0.9428396285163729,0.8606735180111686,1.0582946728339488,0.9539359397871635,0.09541511771995044,20
2000,Electronic,151,0.7518245549660443,0.7293709402934528,0.5695861572648167,0.6835938841747712,0.06237092110698059,20
2000,Country,36,0.7909134070481847,0.9892792683669208,1.1477264813575978,0.9759730522575678,0.01486988847583643,20
2000,Oldies/Standards,18,0.9091778685843401,0.7366430003889627,0.9027807005232339,0.8495338564988456,0.007434944237918215,20
2000,Other,179,0.9748196161197271,0.9684774191752985,1.063492885289411,1.0022633068614788,0.07393638992152003,20
2010,Pop,1502,0.8671059027057844,0.8936603974979281,1.0079687903739394,0.9229116968592171,0.4651594921028182,30
2010,Rock,639,0.8817998882706164,0.873207167550523,0.9861676538486276,0.9137249032232556,0.19789408485599258,30
2010,Hip-Hop,158,0.7618373481002174,0.7974732487482848,1.0688259293178757,0.8760455087221258,0.04893155775781976,30
2010,R&B/Soul,295,0.9776010592641539,0.9414658057121889,1.0227277982317295,0.9805982210693575,0.09135955404149891,30
